n_procs,qualityfactor,corrections,serial_max,parallel_max,serial_mean,parallel_mean,serial_time,parallel_time
2,100,2,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.144839,7.290737
4,10,2,6.19E-04,6.15E-03,2.64E-04,2.62E-03,0.014831,5.695128
4,50,2,1.24E-04,6.15E-03,5.27E-05,2.62E-03,0.073493,4.618853
8,100,2,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.226073,3.781236
16,50,2,1.24E-04,6.15E-03,5.27E-05,2.62E-03,0.142043,3.094534
16,100,2,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.257661,2.556699
16,10,2,6.19E-04,6.15E-03,2.64E-04,2.62E-03,0.08264,5.872348
16,50,2,1.24E-04,6.15E-03,5.27E-05,2.62E-03,0.14487,2.524051
16,100,2,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.144561,4.17709
16,100,1,6.18E-05,6.24E-03,2.63E-05,2.66E-03,0.884363,0.024045
16,100,2,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.476075,1.524805
16,100,5,6.18E-05,6.24E-03,2.63E-05,2.66E-03,0.138123,4.277979
16,100,10,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.276352,9.230153
16,100,50,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.307629,48.117501
16,100,100,6.18E-05,6.15E-03,2.63E-05,2.62E-03,0.518091,105.657221
