n_procs,numSteps,qualityfactor,corrections,serial_max,parallel_max,serial_mean,parallel_mean,serial_time,parallel_time
2,100,100,2,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.273088,15.602692
4,100,10,2,3.543941e-03,3.706209e-02,1.640990e-03,1.719938e-02,0.034686,10.134147
4,100,50,2,7.060293e-04,3.706209e-02,3.268672e-04,1.719938e-02,0.131030,9.705749
8,100,100,2,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.323222,6.800989
16,100,10,2,3.543941e-03,3.706209e-02,1.640990e-03,1.719938e-02,0.095807,13.253634
16,100,50,2,7.060293e-04,3.706209e-02,3.268672e-04,1.719938e-02,0.186552,5.194865
16,100,100,2,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.379339,9.783687
16,100,100,1,3.528431e-04,3.706209e-02,1.633509e-04,1.720522e-02,0.304592,0.033993
16,100,100,2,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.300513,2.786015
16,100,100,5,3.528431e-04,3.706209e-02,1.633509e-04,1.720522e-02,0.296380,8.982083
16,100,100,10,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.315678,19.845286
16,100,100,50,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.283889,105.358575
16,100,100,100,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.308455,230.499720
32,100,10,2,3.543941e-03,3.706209e-02,1.640990e-03,1.719938e-02,0.062029,3.863887
32,100,50,2,7.060293e-04,3.706209e-02,3.268672e-04,1.719938e-02,0.139086,4.521666
32,100,100,1,3.528431e-04,3.706209e-02,1.633509e-04,1.720522e-02,0.511949,0.041012
32,100,100,2,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.273211,3.680919
32,100,100,5,3.528431e-04,3.706209e-02,1.633509e-04,1.720522e-02,0.289979,16.930516
32,100,100,10,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.286186,30.488317
32,100,100,50,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.269222,117.171796
32,100,100,100,3.528431e-04,3.706209e-02,1.633509e-04,1.719938e-02,0.311367,281.408144
